Show,Channel in India,Poster Name ,Original release year,India debut year,India end year,Genre,Country of origin,Animation style,Main character gender,Ensemble/solo,Human/animal/other protagonist,Comedy/adventure/action,Indian-produced?,Short synopsis,Protagonist role,protagonist_role_clean,Underlying themes,prominent_theme_clean,creators,no_of_female_creators
Foster's Home for Imaginary Friends,Cartoon Network,foster,2004,2005,2010,Comedy/Fantasy,USA,traditional 2D,mixed,ensemble,human/other,comedy/adventure,No,"A boy's imaginary friend lives in a home for abandoned imaginary companions, where colorful residents create everyday chaos.",Friend / Social Navigator,Friend,"friendship, belonging, imagination, acceptance",Friendship,Craig McCracken,0
Jackie Chan Adventures,Cartoon Network,jackie,2000,2001,2007,Action/Comedy,USA/Hong Kong,traditional 2D,male,ensemble,human,action/adventure,No,"A martial artist and his family travel the world confronting magical artifacts, villains and supernatural threats.",Adventurer / Protector,Adventurer,"family, courage, responsibility, teamwork",Heroism,"John Rogers, Duane Capizzi & Jeff Kline",0
Johnny Bravo,Cartoon Network,jonny,1997,1998,2005,Comedy,USA,traditional 2D,male,solo,human,comedy,No,"A muscular, self-absorbed young man pursues romance and repeatedly lands in ridiculous situations because of his exaggerated confidence.",Trickster / Entertainer,Trickster,"confidence, vanity, persistence, humor",Mischief,Van Partible,0
Looney Tunes,Cartoon Network,loony,1930,1995,2010,Comedy,USA,traditional 2D,mixed,ensemble,animal,comedy,No,"A cast of eccentric characters get into comic schemes, rivalries and absurd situations through fast-paced slapstick humor.",Trickster / Entertainer,Trickster,"mischief, rivalry, cleverness, humor",Mischief,Warner Bros. cartoon creators (multiple),0
Pokémon,Cartoon Network,pokemon,1997,1998,2009,Adventure/Fantasy,Japan,traditional 2D,male,ensemble,human/animal,adventure/action,No,"A young trainer travels between regions, befriending Pokémon, competing in battles and pursuing his dream of becoming a Pokémon Master.",Explorer / Competitor,Competitor,"friendship, perseverance, mastery, discovery",Competition,Satoshi Tajiri / The Pokémon Company,Yes 
Samurai Jack,Cartoon Network,samuraijack,2001,2002,2008,Action/Adventure,USA,traditional 2D,male,solo,human,adventure/action,No,A displaced samurai fights evil in a dystopian future while searching for a way to return to his own time.,Hero / Warrior,Hero,"courage, perseverance, justice, identity",Heroism,Genndy Tartakovsky,0
Scooby-Doo,Cartoon Network,scooby_doo,1969,1995,2010,Comedy/Mystery,USA,traditional 2D,male,ensemble,animal,comedy/adventure,No,Four friends and their talking dog investigate mysterious happenings and unmask people hiding behind supposedly supernatural scares.,Detective / Investigator,Detective,"curiosity, teamwork, truth, problem-solving",Mystery,Joe Ruby & Ken Spears,0
Teen Titans,Cartoon Network,teen,2003,2004,2010,Action/Adventure,USA,traditional 2D,mixed,ensemble,human,action/adventure,No,"Young superheroes live together, battle villains and navigate friendship, adolescence and the responsibilities of protecting their city.",Hero / Protector,Hero,"friendship, responsibility, identity, teamwork",Heroism,Glen Murakami & David Slack,0
The Amazing World of Gumball,Cartoon Network,gumball,2011,2012,2020,Comedy,UK/USA/Ireland,mixed 2D/3D,male,ensemble,animal/other,comedy,No,A blue cat and his adopted brother experience absurd adventures at school and home in the eccentric town of Elmore.,Trickster / Social Navigator,Trickster,"family, friendship, absurdity, Coming of age",Mischief,Ben Bocquelet,0
The Grim Adventures of Billy & Mandy,Cartoon Network,billy,2001,2002,2008,Comedy/Fantasy,USA,traditional 2D,mixed,ensemble,human/other,comedy/adventure,No,"Two children become companions to the Grim Reaper after winning a bet, leading to bizarre supernatural adventures.",Trickster / Adventurer,Trickster,"friendship, fear, power, irreverence",Fantasy,Maxwell Atoms,0
The Powerpuff Girls,Cartoon Network,powerpuff,1998,1999,2008,Comedy/Action,USA,traditional 2D,female,ensemble,human,comedy/action,No,Three superpowered kindergarteners protect Townsville from monsters and villains while balancing superhero duties with childhood.,Hero / Protector,Hero,"courage, responsibility, justice, teamwork",Heroism,Craig McCracken,0
The Yogi Bear Show,Cartoon Network,yogibear,1961,1995,2000,Comedy,USA,traditional 2D,male,duo,animal,comedy,No,Yogi Bear and Boo Boo pursue picnic baskets while outsmarting park rangers and getting into comic adventures.,Trickster / Rule-Bender,Trickster,"mischief, cleverness, freedom, authority",Mischief,William Hanna & Joseph Barbera,0
Tom and Jerry,Cartoon Network,tomandjerry,1940,1995,2010,Comedy,USA,traditional 2D,male,duo,animal,comedy,No,"A cat and mouse repeatedly outwit each other through elaborate chases, pranks and slapstick battles.",Trickster / Rival,Trickster,"rivalry, cleverness, survival, slapstick",Mischief,William Hanna & Joseph Barbera,0
Top Cat,Cartoon Network,topcat,1961,1995,2000,Comedy,USA,traditional 2D,male,ensemble,animal,comedy,No,A smooth-talking alley cat leads his gang through schemes and scams while trying to outwit a neighborhood police officer.,Trickster / Schemer,Trickster,"cleverness, friendship, survival, rule-bending",Mischief,William Hanna & Joseph Barbera,0
Winx Club,Cartoon Network,Winx,2004,2006,2010,Fantasy/Adventure,Italy,traditional 2D,female,ensemble,human,adventure/action,No,"Teenage fairies attend a magical school, develop their powers and battle villains while navigating friendship and Coming of age.",Hero / Transformer,Hero,"friendship, identity, courage, responsibility",Fantasy,Iginio Straffi,0
Richie Rich,Cartoon Network,Richie,1980,1995,2004,Comedy,USA,Traditional 2D,Male,Solo,Human,Comedy/adventure,No,"A fabulously wealthy boy uses his enormous fortune, gadgets and resources to help friends and get into comic adventures.",Problem-Solver,"wealth, friendship, family, adventure",Solver,Adventure, Harvey Comics founder Alfred Harvey and artist/writer Warren Kreme,0
Amar Chitra Katha Tales,Pogo,,2004,2004,2010,Mythology/History,India,traditional 2D,mixed,ensemble,human/other,adventure,Yes,"Animated adaptations of stories from Indian epics, mythology, history and folklore, introducing young viewers to cultural characters and traditional narratives.",Storyteller / Guide,Storyteller,"cultural heritage, mythology, history, moral learning",Cultural,Amar Chitra Katha / ACK Media,Unknown
Andy Pirki,Pogo,,2017,2017,2020,Comedy,India,3D CGI,male,ensemble,animal,comedy,Yes,A mischievous young boy and his friends get into playful adventures and comic situations while learning lessons about everyday life.,Mischief-Maker / Friend,Mischief-maker,"friendship, curiosity, humor, everyday learning",Mischief,Not identified,0
Appu - The Yogic Elephant,Pogo,,2005,2005,2010,Educational/Comedy,India,3D CGI,male,solo,animal,comedy/adventure,Yes,"A young elephant uses yoga, kindness and playful problem-solving to help friends and overcome everyday challenges.",Helper / Learner,Helper,"wellbeing, kindness, cooperation, self-discipline",Problem solving,Not identified,Unknown
Arjun: Prince of Bali,Pogo,,2012,2012,2015,Adventure/Mythology,India,3D CGI,male,solo,human,adventure/action,Yes,"A young warrior prince faces challenges, develops his abilities and protects his kingdom in mythological adventures.",Hero / Warrior,Hero,"courage, duty, leadership, justice",Heroism,Sowmya Sharma and Sonam Shekhawat,Yes
Bandbudh Aur Budbak,Pogo,,2015,2021,present,Comedy/School,India,3D CGI,male,duo,human,comedy,Yes,"Two mischievous schoolboys turn ordinary classroom and neighborhood situations into comic adventures through schemes, misunderstandings and friendship.",Mischief-Maker / Social Navigator,Mischief-maker,"friendship, school life, mischief, consequences",Mischief,Sonam Shekhawat,Yes
Bob the Builder,Pogo,,1999,2004,2010,Preschool/Comedy,UK,traditional 2D/CGI,male,ensemble,human,comedy/adventure,No,Bob and his team of machines complete construction projects by solving practical problems through teamwork and determination.,Builder / Problem-Solver,Builder,"teamwork, responsibility, problem-solving, community",Problem solving,Keith Chapman,0
Chhota Bheem,Pogo,,2008,2008,present,Comedy/Adventure,India,3D CGI,male,ensemble,human,comedy/adventure,Yes,"A brave, super-strong boy and his friends protect Dholakpur from villains, solve problems and embark on comic adventures.",Hero / Protector,Hero,"courage, friendship, justice, responsibility",Heroism,Rajiv Chilaka / Green Gold Animation,0
Dabangg: The Animated Series,Pogo,,2019,2019,present,Action/Comedy,India,3D CGI,male,ensemble,human,comedy/action,Yes,Inspector Chulbul Pandey fights criminals and protects his community while his exaggerated personality creates comic action and adventures.,Hero / Protector,Hero,"justice, courage, duty, community",Heroism,Arbaaz Khan Productions & Cosmos-Maya,0
Dragon Tales,Pogo,,1999,2004,2008,Fantasy/Educational,USA/Canada,traditional 2D,mixed,ensemble,human/animal,adventure,No,"Two siblings enter a magical dragon world where they learn about friendship, cooperation and problem-solving through imaginative adventures.",Explorer / Learner,Explorer,"imagination, friendship, curiosity, learning",Adventure,"Jim Coane, Ron Rodecker & Jeffrey Zahn",0
Ekans - Snakes Awake,Pogo,,2019,2019,2021,Comedy/Adventure,India,3D CGI,male,ensemble,animal,comedy/adventure,Yes,"A young boy and his friends encounter supernatural snakes and mysteries, combining fantasy adventures with friendship and comic situations.",Explorer / Problem-Solver,Explorer,"mystery, friendship, courage, supernatural adventure",Mystery,Meera Latkar Nemlekar,Yes
Krish Trish & Baltiboy,Pogo,,2009,2009,2014,Adventure/Moral,India,3D CGI,mixed,ensemble,animal,adventure,Yes,"Three animal friends travel through stories inspired by Indian folklore, exploring moral lessons and cultural traditions.",Helper / Storyteller,Helper,"kindness, friendship, morality, cultural heritage",Cultural,Not identified,Yes
Krishna Balram,Pogo,,2007,2007,2010,Mythology/Adventure,India,3D CGI,male,duo,human/other,adventure/action,Yes,Young Krishna and his brother Balram experience mythological adventures while protecting their village and defeating evil forces.,Hero / Protector,Hero,"courage, devotion, friendship, good versus evil",Heroism,Rajiv Chilaka / Green Gold Animation,0
Kumbh Karan,Pogo,,2010,2010,2014,Comedy/Adventure,India,3D CGI,male,solo,human,comedy/adventure,Yes,"A carefree, food-loving boy gets drawn into comic adventures with friends and family in his colorful everyday world.",Mischief-Maker / Friend,Mischief-maker,"friendship, mischief, family, humor",Mischief,Not identified,Unknown
LambuG TinguG,Pogo,,2020,2020,present,Comedy,India,3D CGI,male,duo,human,comedy,Yes,"Two contrasting friends with very different personalities get into comic situations, learning about friendship and cooperation along the way.",Friend / Social Navigator,Friend,"friendship, differences, cooperation, humor",Friendship,Not identified,Unknown
Little Krishna,Pogo,,2009,2009,2012,Mythology/Adventure,India,3D CGI,male,solo,human/other,adventure/action,Yes,"Young Krishna protects his village and friends from danger while displaying courage, cleverness and divine powers in mythological adventures.",Hero / Protector,Hero,"courage, devotion, friendship, good versus evil",Heroism,Big Animation (Reliance Animation) & India Heritage Foundation,Yes
Little Singham,Pogo,,2018,2022,present,Superhero/Action,India,3D CGI,male,ensemble,human,action/adventure,Yes,"A young police superhero uses courage, strength and cleverness to protect his city from criminals and other threats.",Hero / Protector,Hero,"courage, justice, responsibility, community",Heroism,Rohit Shetty Picturez & Reliance Animation,Yes
Looney Tunes,Pogo,,1930,2004,2010,Comedy,USA,traditional 2D,mixed,ensemble,animal,comedy,No,"A cast of eccentric characters get into comic schemes, rivalries and absurd situations through fast-paced slapstick humor.",Trickster / Entertainer,Trickster,"mischief, rivalry, cleverness, humor",Mischief,Warner Bros. cartoon creators (multiple),0
Mighty Raju,Pogo,,2010,2010,present,Superhero/Comedy,India,3D CGI,male,solo,human,comedy/action,Yes,"A superpowered young boy uses strength, intelligence and courage to protect his city while dealing with childhood adventures.",Hero / Protector,Hero,"courage, responsibility, friendship, Problem solving others",Heroism,Rajiv Chilaka / Green Gold Animation,Yes
Mr. Bean: The Animated Series,Pogo,,2002,2004,2010,Comedy,UK,traditional 2D,male,solo,human,comedy,No,"The eccentric Mr. Bean turns ordinary situations into elaborate comic mishaps through schemes, misunderstandings and inventive problem-solving.",Trickster / Entertainer,Trickster,"mischief, cleverness, consequences, humor",Mischief,Richard Curtis & Robin Driscoll,0
Noddy,Pogo,,1955,2004,2010,Preschool/Adventure,UK,traditional 2D/stop-motion,male,solo,human/other,comedy/adventure,No,"A cheerful little wooden boy lives in Toyland, exploring, Problem solving friends and learning lessons through everyday adventures.",Explorer / Friend,Explorer,"friendship, curiosity, responsibility, honesty",Adventure,Enid Blyton (character/source creator) Book series,Yes 
Oswald,Pogo,,2001,2004,2008,Preschool/Comedy,USA/UK,traditional 2D,male,ensemble,animal,comedy,No,"A gentle blue octopus lives in Big Dipper City, spending time with friends and solving everyday problems with kindness.",Caregiver / Friend,Caregiver,"kindness, friendship, patience, cooperation",Friendship,Dan Yaccarino,0
Pingu,Pogo,,1990,2004,2010,Comedy/Preschool,Switzerland/UK,stop-motion,male,ensemble,animal,comedy,No,"A mischievous young penguin explores family life and friendship in Antarctica, communicating through playful sounds and getting into trouble.",Learner / Social Navigator,Learner,"family, friendship, curiosity, learning",Coming of age,Otmar Gutmann,0
Popeye,Pogo,,1933,2004,2010,Comedy/Adventure,USA,traditional 2D,male,ensemble,human,comedy/adventure,No,"A sailor gets into comic conflicts and adventures, often gaining extraordinary strength after eating spinach to defeat opponents.",Protector / Adventurer,Protector,"courage, loyalty, perseverance, protection",Heroism,E. C. Segar,0
The New Adventures of Hanuman,Pogo,,2007,2007,2012,Mythology/Adventure,India,3D CGI,male,solo,other,adventure/action,Yes,"Young Hanuman uses extraordinary powers, courage and devotion to help others and confront villains in mythological adventures.",Hero / Protector,Hero,"courage, devotion, service, good versus evil",Heroism,Rajiv Chilaka / Green Gold Animation,Unknown
The Pink Panther Show,Pogo,,1969,2004,2010,Comedy,USA,traditional 2D,male,ensemble,animal,comedy,No,"The silent Pink Panther repeatedly encounters comic situations, relying on cleverness and physical humor to overcome obstacles.",Trickster / Entertainer,Trickster,"cleverness, rivalry, persistence, humor",Mischief,David H. DePatie & Friz Freleng,0
Titoo - Har Jawaab Ka Sawaal Hu,Pogo,,2018,2018,present,Comedy/School,India,3D CGI,male,solo,human,comedy,Yes,"A clever schoolboy named Titoo tackles everyday problems and challenges with confidence, humor and inventive solutions.",Problem-Solver / Student,Solver,"curiosity, intelligence, friendship, confidence",Scientific,"Amit Pandey, Kumar Vivek",0
Tom and Jerry,Pogo,,1940,2004,2010,Comedy,USA,traditional 2D,male,duo,animal,comedy,No,"A cat and mouse repeatedly outwit each other through elaborate chases, pranks and slapstick battles.",Trickster / Rival,Trickster,"rivalry, cleverness, survival, slapstick",Mischief,William Hanna & Joseph Barbera,0
Aladdin: The Series,Disney Channel,,1994,2004,2010,Adventure/Comedy,USA,traditional 2D,male,ensemble,human/animal,comedy/adventure,No,"Aladdin, Jasmine and their friends explore Agrabah and beyond, facing magical creatures, villains and treasure-seeking adventures.",Adventurer / Hero,Adventurer,"adventure, friendship, courage, responsibility",Fantasy,"Alan Zaslove, Tad Stones & Sherri Stoner",Yes
American Dragon: Jake Long,Disney Channel,,2005,2005,2010,Fantasy/Action,USA,traditional 2D,male,solo,human/other,action/adventure,No,A teenager secretly protects New York's magical community while learning to control dragon powers and balance school life.,Hero / Transformer,Hero,"identity, responsibility, family, courage",Heroism,Jeff Goode,0
Buzz Lightyear of Star Command,Disney Channel,,2000,2004,2008,Action/Comedy,USA,traditional 2D,male,ensemble,human/other,action/adventure,No,Space ranger Buzz Lightyear and his team defend the galaxy while battling villains and protecting planets from interstellar threats.,Hero / Protector,Hero,"courage, duty, justice, teamwork",Heroism,Bob Schooley & Mark McCorkle,0
Chip n Dale: Rescue Rangers,Disney Channel,,1989,2004,2010,Adventure/Comedy,USA,traditional 2D,mixed,ensemble,animal,comedy/adventure,No,Two chipmunks lead a small detective team solving mysteries and Problem solving people while facing villains and comic obstacles.,Detective / Investigator,Detective,"teamwork, justice, curiosity, friendship",Mystery,Tad Stones & Alan Zaslove,0
Darkwing Duck,Disney Channel,,1991,2004,2010,Superhero/Comedy,USA,traditional 2D,male,solo,animal,comedy/action,No,A masked duck superhero protects St. Canard from criminals and supervillains while balancing heroic missions with family life.,Hero / Protector,Hero,"justice, courage, responsibility, family",Heroism,Tad Stones,0
DuckTales,Disney Channel,,1987,2004,2010,Adventure/Comedy,USA,traditional 2D,male,ensemble,animal,comedy/adventure,No,"Scrooge McDuck and his nephews travel the world seeking treasure and adventure while facing villains, mysteries and dangerous discoveries.",Explorer / Adventurer,Explorer,"adventure, curiosity, family, ambition",Adventure,Jymn Magon,0
Fish Hooks,Disney Channel,,2010,2010,2015,Comedy/School,USA,traditional 2D,mixed,ensemble,animal,comedy,No,"Three fish siblings navigate school, friendship, family and teenage problems inside an aquarium populated by quirky aquatic characters.",Student / Social Navigator,Student,"friendship, school, identity, Coming of age",Coming of age,Noelle Stevenson? Actually creator: Noah Z. Jones,0
Hercules: The Animated Series,Disney Channel,,1998,2004,2010,Comedy/Mythology,USA,traditional 2D,male,solo,human/other,comedy/adventure,No,"Teenage Hercules trains to become a hero while attending school and learning about friendship, responsibility and mythology.",Hero / Learner,Hero,"identity, courage, responsibility, friendship",Heroism,Kevin Campbell & Robert Schooley? / Disney Television Animation,0
House of Mouse,Disney Channel,,2001,2004,2010,Comedy,USA,traditional 2D,mixed,ensemble,animal,comedy,No,"Mickey hosts a nightclub where Disney characters gather, perform and become involved in comedic stories and misunderstandings.",Host / Entertainer,Host,"friendship, community, performance, humor",Mischief,Roberts Gannaway & Tony Craig,0
Kick Buttowski: Suburban Daredevil,Disney Channel,,2010,2011,2015,Comedy/Action,USA,traditional 2D,male,solo,human,comedy/action,No,A fearless boy pursues extreme stunts in his suburban neighborhood while resisting ordinary expectations and taking constant risks.,Adventurer / Risk-Taker,Adventurer,"courage, independence, risk-taking, perseverance",Adventure,Sandrone? creator: Sandro Corsaro,0
Kim Possible,Disney Channel,,2002,2004,2015,Action/Comedy,USA,traditional 2D,female,solo,human,comedy/action,No,A teenage girl balances school and ordinary life with missions to save the world from villains and dangerous schemes.,Hero / Protector,Hero,"courage, responsibility, friendship, balancing identities",Heroism,Mark McCorkle & Bob Schooley,0
Lilo & Stitch: The Series,Disney Channel,,2003,2004,2010,Comedy/Adventure,USA,traditional 2D,mixed,duo,human/animal,comedy/adventure,No,"Lilo and Stitch search for Stitch's escaped alien cousins, Problem solving them find good purposes while protecting their Hawaiian home.",Helper / Protector,Helper,"belonging, acceptance, friendship, responsibility",Friendship,"Jess Winfield, Alex H. Chou & Mark McCorkle",0
Little Einsteins,Disney Channel,,2005,2005,2010,Educational/Adventure,USA,traditional 2D,mixed,ensemble,human,adventure,No,"Four young friends travel around the world in a rocket, solving problems while introducing children to art, music and culture.",Explorer / Learner,Explorer,"curiosity, teamwork, art, discovery",Learning,Eric Weiner,0
Mickey Mouse Clubhouse,Disney Channel,,2006,2006,2016,Preschool/Comedy,USA,traditional 2D,male,ensemble,animal,comedy/adventure,No,"Mickey and friends invite young viewers to help solve simple problems through playful adventures, songs and early-learning activities.",Helper / Learner,Helper,"cooperation, problem-solving, friendship, learning",Learning,Bobs Gannaway & Roberts Gannaway,0
Phineas and Ferb,Disney Channel,,2007,2008,2015,Comedy/Adventure,USA,traditional 2D,male,ensemble,human/animal,comedy/adventure,No,Two inventive brothers build outrageous projects during summer while their sister tries to expose them and their pet fights crime.,Inventor / Problem-Solver,Inventor,"creativity, curiosity, imagination, sibling relationships",Scientific,Dan Povenmire & Jeff Marsh,0
Recess,Disney Channel,,1997,2004,2010,Comedy/School,USA,traditional 2D,mixed,ensemble,human,comedy/adventure,No,"A group of elementary-school friends navigate playground politics, friendships, school rules and adventures during recess at Third Street School.",Friend / Social Navigator,Friend,"belonging, friendship, independence, social rules",Coming of age,Joe Ansolabehere & Paul Germain,0
Star vs. the Forces of Evil,Disney Channel,,2015,2016,2019,Fantasy/Comedy,USA,traditional 2D,female,duo,human/other,comedy/adventure,No,"A magical princess is sent to Earth, where she learns to control her powers while battling monsters and interdimensional threats.",Hero / Transformer,Hero,"identity, responsibility, friendship, courage",Fantasy,Daron Nefcy,Yes
TaleSpin,Disney Channel,,1990,2004,2010,Adventure/Comedy,USA,traditional 2D,male,ensemble,animal,comedy/adventure,No,"A daring bear pilot runs an air-cargo business in a tropical port, taking on rivals, smugglers and dangerous adventures.",Adventurer / Pilot,Adventurer,"independence, adventure, friendship, risk-taking",Adventure,Jymn Magon & Mark Zaslove,0
The Emperor's New School,Disney Channel,,2006,2006,2010,Comedy/School,USA,traditional 2D,male,ensemble,human/animal,comedy/adventure,No,"Kuzco attends school to earn his throne while dealing with rivals, magical interference, friendships and growing responsibilities.",Student / Social Navigator,Student,"responsibility, friendship, identity, Coming of age",Coming of age,Mark Dindal,0
The Legend of Tarzan,Disney Channel,,2001,2004,2010,Adventure,USA,traditional 2D,male,ensemble,human/animal,adventure/action,No,"Tarzan protects the jungle and its inhabitants while navigating relationships between humans, animals and outsiders threatening their home.",Protector / Adventurer,Protector,"protection, identity, nature, belonging",Heroism,Gary Trousdale & Kevin Lima? (film-based series; creator not straightforward),Unknown
The New Adventures of Winnie the Pooh,Disney Channel,,1988,2004,2010,Comedy/Adventure,USA,traditional 2D,male,ensemble,animal,comedy/adventure,No,"Winnie-the-Pooh and his friends experience gentle adventures in the Hundred Acre Wood centered on friendship, imagination and everyday problems.",Friend / Social Navigator,Friend,"friendship, imagination, kindness, everyday learning",Friendship,Karl Geurs,0
The Proud Family,Disney Channel,,2001,2005,2010,Comedy/Family,USA,traditional 2D,female,ensemble,human,comedy,No,"A teenage girl navigates school, friendships, family expectations and Coming of age in a lively and chaotic household.",Social Navigator / Learner,Navigator,"family, identity, friendship, Coming of age",Coming of age,Bruce W. Smith,0
The Replacements,Disney Channel,,2006,2006,2010,Comedy/Fantasy,USA,traditional 2D,mixed,duo,human,comedy/adventure,No,"Two siblings use a magical replacement service to obtain new adults in their lives, leading to unusual family and school adventures.",Social Navigator / Problem-Solver,Navigator,"family, independence, identity, adaptation",Coming of age,Dan Santat,0
Timon & Pumbaa,Disney Channel,,1995,2004,2010,Comedy,USA,traditional 2D,male,duo,animal,comedy,No,"Timon and Pumbaa travel through humorous adventures, meeting unusual characters while following their carefree philosophy of life.",Trickster / Adventurer,Trickster,"friendship, freedom, humor, resilience",Mischief,Roberts Gannaway & Tony Craig,0
Aaahh Real Monsters,Nickelodeon / Nick,,1994,1999,2005,Comedy/Horror,USA,traditional 2D,mixed,ensemble,other,comedy/adventure,No,"Three young monsters attend a monster academy, learning how to scare humans while dealing with friendship and their fears.",Learner / Outsider,Learner,"identity, belonging, courage, acceptance",Heroism,Gábor Csupó & Peter Gaffney,0
All Grown Up!,Nickelodeon / Nick,,2003,2004,2009,Comedy/School,USA,traditional 2D,mixed,ensemble,human,comedy,No,"The Rugrats are older and face school, friendship, family, identity and teenage challenges from a more mature perspective.",Social Navigator / Learner,Navigator,"identity, friendship, independence, Coming of age",Coming of age,"Arlene Klasky, Gábor Csupó & Paul Germain",Yes
